doc_id,authors,published_date,section,title
00337a3a-5eed-4ff4-9a8e-663c59de852d,Nathan Onibudo,17-Sep-24,Opinion,ONIBUDO: Give us back our Hill
00d58a44-5212-41d8-8054-a55097f54112,Conall Castagno,18-Aug-25,Opinion,"CASTAGNO: U.Va. paved paradise, but we still need more parking lots"
018a6694-a131-4b1b-97c9-e66d5da4e509,Editorial Board,3-Dec-24,Opinion,EDITORIAL: Repressive classroom agendas cost students their education
02a96c20-f438-4335-b1bf-330440957589,Ayat Younis,9-Jan-25,Opinion,YOUNIS: Why every U.Va. student should say yes to English
02ac942b-5c90-467c-be62-8701d281bbc8,Farah Eljazzar,31-Aug-24,Opinion,ELJAZZAR: Prolong technology sabbaticals
046c2c0e-a70a-4073-867d-c5409539958b,Muhammad Ali Rashid,2-Aug-25,Opinion,RASHID: The liberal arts are not optional — and we need to start treating them as such
0536c88a-76d7-4cda-bfa5-dc480bb28fff,Elizabeth Ingeborg Casteen; John T. Casteen IV,20-Mar-25,Opinion,OBITUARY: John Thomas Casteen III passes away at 81
05d22c6a-6057-4bdb-9b71-1a557c14b049,Paul Dafydd Jones; Janet Spittler; Natasha Heller; Erik Braun,1-Aug-25,Opinion,4 RELIGIOUS STUDIES FACULTY: Where are the humanities professors?
080d3d86-458e-403e-9035-e678e7a9f061,Michael Payne,26-May-25,Opinion,PAYNE: U.Va.’s acquisition of the FEI directly harms the children of Charlottesville
0bd9224b-522d-4107-9b5a-c3dd41055309,Nathan Onibudo,17-May-25,Opinion,PARTING SHOT: On the art of walking and chewing gum
0c009555-af81-46b2-a3ae-9cbcbc5974ad,Emma Nero,6-Sep-25,Opinion,NERO: Virginia must further prioritize high school economics education
0c3236e9-f0be-4b45-a1c3-9f1cbbeb592d,Wylie Brunman,7-Oct-24,Opinion,"BRUNMAN: October 7 — one year on, it is time we embrace conciliation"
0ce2b0ef-f5e4-4be0-b9b9-6560ec1a396b,Susannah Baker; Chloe Fridley; Brighton Lieu,11-Apr-25,Opinion,"BAKER, FRIDLEY, LIEU: We should re-examine Inclusive Access textbooks on Grounds"
0d229ac7-9d0a-4fca-8bbd-3f971ce4854b,Stephen Farmer,31-Aug-24,Opinion,LETTER: U.Va.'s relationship with the University Guides
0dd59d92-912f-4e63-a0af-c92a8f69a307,Tom Neale,16-Dec-25,Opinion,LETTER: An alumnus and parent’s perspective on U.Va.’s presidential search process
0e7ace53-afab-450a-b88d-f636ca0f2995,Viet Huynh,3-Nov-24,Opinion,HUYNH: Hung Cao's story is powerful — don't take the bait
0ef5d8d0-d81a-45a2-8aab-bc3ee250536e,Editorial Board,22-Dec-25,Opinion,EDITORIAL: An eleventh-hour presidential appointment and a community left in the dark
0f82df1f-a1bf-45ac-8deb-46ebb9acf93c,Ann Brown; Chris Ford,9-Dec-25,Opinion,BROWN AND FORD: U.Va.’s Board of Visitors cannot escape accountability with silence
103a0b19-a7ce-4d2f-bbd6-8e603f62e3a5,Nathan Onibudo,16-Mar-24,Opinion,LETTER FROM THE EDITOR: Introducing The Cavalier Daily’s puzzle section
110987c7-0e8b-44a3-8e4c-6fc71e1bc63a,Muhammad Ali Rashid,8-Mar-25,Opinion,RASHID: U.Va. must empower faculty and students through transparency
111c1cda-71c6-4e51-999f-affb50a8af3f,Naima Sawaya; Nathan Onibudo,6-May-24,Opinion,"ONIBUDO AND SAWAYA: Police, not students, were agents of chaos"
