title,section,clean_title,tokens
ONIBUDO: Give us back our Hill,Opinion,onibudo give us back our hill,"['onibudo', 'give', 'u', 'back', 'hill']"
"CASTAGNO: U.Va. paved paradise, but we still need more parking lots",Opinion,castagno uva paved paradise but we still need more parking lots,"['castagno', 'uva', 'paved', 'paradise', 'still', 'need', 'parking', 'lot']"
EDITORIAL: Repressive classroom agendas cost students their education,Opinion,editorial repressive classroom agendas cost students their education,"['editorial', 'repressive', 'classroom', 'agenda', 'cost', 'student', 'education']"
YOUNIS: Why every U.Va. student should say yes to English,Opinion,younis why every uva student should say yes to english,"['younis', 'every', 'uva', 'student', 'say', 'yes', 'english']"
ELJAZZAR: Prolong technology sabbaticals,Opinion,eljazzar prolong technology sabbaticals,"['eljazzar', 'prolong', 'technology', 'sabbatical']"
RASHID: The liberal arts are not optional — and we need to start treating them as such,Opinion,rashid the liberal arts are not optional  and we need to start treating them as such,"['rashid', 'liberal', 'art', 'optional', 'need', 'start', 'treating']"
OBITUARY: John Thomas Casteen III passes away at 81,Opinion,obituary john thomas casteen iii passes away at ,"['obituary', 'john', 'thomas', 'casteen', 'iii', 'pass', 'away']"
4 RELIGIOUS STUDIES FACULTY: Where are the humanities professors?,Opinion, religious studies faculty where are the humanities professors,"['religious', 'study', 'faculty', 'humanity', 'professor']"
PAYNE: U.Va.’s acquisition of the FEI directly harms the children of Charlottesville,Opinion,payne uvas acquisition of the fei directly harms the children of charlottesville,"['payne', 'uvas', 'acquisition', 'fei', 'directly', 'harm', 'child', 'charlottesville']"
PARTING SHOT: On the art of walking and chewing gum,Opinion,parting shot on the art of walking and chewing gum,"['parting', 'shot', 'art', 'walking', 'chewing', 'gum']"
NERO: Virginia must further prioritize high school economics education,Opinion,nero virginia must further prioritize high school economics education,"['nero', 'virginia', 'must', 'prioritize', 'high', 'school', 'economics', 'education']"
"BRUNMAN: October 7 — one year on, it is time we embrace conciliation",Opinion,brunman october   one year on it is time we embrace conciliation,"['brunman', 'october', 'one', 'year', 'time', 'embrace', 'conciliation']"
"BAKER, FRIDLEY, LIEU: We should re-examine Inclusive Access textbooks on Grounds",Opinion,baker fridley lieu we should reexamine inclusive access textbooks on grounds,"['baker', 'fridley', 'lieu', 'reexamine', 'inclusive', 'access', 'textbook', 'ground']"
LETTER: U.Va.'s relationship with the University Guides,Opinion,letter uvas relationship with the university guides,"['letter', 'uvas', 'relationship', 'university', 'guide']"
LETTER: An alumnus and parent’s perspective on U.Va.’s presidential search process,Opinion,letter an alumnus and parents perspective on uvas presidential search process,"['letter', 'alumnus', 'parent', 'perspective', 'uvas', 'presidential', 'search', 'process']"
HUYNH: Hung Cao's story is powerful — don't take the bait,Opinion,huynh hung caos story is powerful  dont take the bait,"['huynh', 'hung', 'caos', 'story', 'powerful', 'dont', 'take', 'bait']"
EDITORIAL: An eleventh-hour presidential appointment and a community left in the dark,Opinion,editorial an eleventhhour presidential appointment and a community left in the dark,"['editorial', 'eleventhhour', 'presidential', 'appointment', 'community', 'left', 'dark']"
BROWN AND FORD: U.Va.’s Board of Visitors cannot escape accountability with silence,Opinion,brown and ford uvas board of visitors cannot escape accountability with silence,"['brown', 'ford', 'uvas', 'board', 'visitor', 'cannot', 'escape', 'accountability', 'silence']"
LETTER FROM THE EDITOR: Introducing The Cavalier Daily’s puzzle section,Opinion,letter from the editor introducing the cavalier dailys puzzle section,"['letter', 'editor', 'introducing', 'cavalier', 'daily', 'puzzle', 'section']"
RASHID: U.Va. must empower faculty and students through transparency,Opinion,rashid uva must empower faculty and students through transparency,"['rashid', 'uva', 'must', 'empower', 'faculty', 'student', 'transparency']"
"ONIBUDO AND SAWAYA: Police, not students, were agents of chaos",Opinion,onibudo and sawaya police not students were agents of chaos,"['onibudo', 'sawaya', 'police', 'student', 'agent', 'chaos']"
EDITORIAL: Safe spaces must account for their diversity,Opinion,editorial safe spaces must account for their diversity,"['editorial', 'safe', 'space', 'must', 'account', 'diversity']"
EDITORIAL: Living on the Lawn should be a genuine privilege,Opinion,editorial living on the lawn should be a genuine privilege,"['editorial', 'living', 'lawn', 'genuine', 'privilege']"
RASHID: Club exclusivity hurts the student body,Opinion,rashid club exclusivity hurts the student body,"['rashid', 'club', 'exclusivity', 'hurt', 'student', 'body']"
KURTZWEIL: What we lose in the name of efficiency,Opinion,kurtzweil what we lose in the name of efficiency,"['kurtzweil', 'lose', 'name', 'efficiency']"
EDITORIAL: U.Va.’s path forward begins in the shadows of administrative silence,Opinion,editorial uvas path forward begins in the shadows of administrative silence,"['editorial', 'uvas', 'path', 'forward', 'begin', 'shadow', 'administrative', 'silence']"
"GOLDBLATT, LEVY, MILOV: Israeli flag vandalism is political, not antisemitic",Opinion,goldblatt levy milov israeli flag vandalism is political not antisemitic,"['goldblatt', 'levy', 'milov', 'israeli', 'flag', 'vandalism', 'political', 'antisemitic']"
LETTER: Your U.Va. Health System coverage lacks important context,Opinion,letter your uva health system coverage lacks important context,"['letter', 'uva', 'health', 'system', 'coverage', 'lack', 'important', 'context']"
"RASHID: Noncitizen students are under attack, and the University must act",Opinion,rashid noncitizen students are under attack and the university must act,"['rashid', 'noncitizen', 'student', 'attack', 'university', 'must', 'act']"
COHEN: Take on NIL the Tony Bennett way,Opinion,cohen take on nil the tony bennett way,"['cohen', 'take', 'nil', 'tony', 'bennett', 'way']"
KING: Why are Virginia Democrats the only ones defending Virginia’s authority?,Opinion,king why are virginia democrats the only ones defending virginias authority,"['king', 'virginia', 'democrat', 'one', 'defending', 'virginia', 'authority']"
SHRAUGER: McIntire’s three-year model limits opportunities for first-year students,Opinion,shrauger mcintires threeyear model limits opportunities for firstyear students,"['shrauger', 'mcintires', 'threeyear', 'model', 'limit', 'opportunity', 'firstyear', 'student']"
KURTZWEIL: Dockworkers’ unions cannot avoid the threat of automation,Opinion,kurtzweil dockworkers unions cannot avoid the threat of automation,"['kurtzweil', 'dockworker', 'union', 'cannot', 'avoid', 'threat', 'automation']"
PARTING SHOT: Without sorrow,Opinion,parting shot without sorrow,"['parting', 'shot', 'without', 'sorrow']"
COHEN: Removing supplemental essays sacrifices individuality for convenience,Opinion,cohen removing supplemental essays sacrifices individuality for convenience,"['cohen', 'removing', 'supplemental', 'essay', 'sacrifice', 'individuality', 'convenience']"
EDITORIAL: Commit to protecting noncitizens on Grounds,Opinion,editorial commit to protecting noncitizens on grounds,"['editorial', 'commit', 'protecting', 'noncitizen', 'ground']"
EDITORIAL: Celebrating and reflecting on The Cavalier Daily’s independence,Opinion,editorial celebrating and reflecting on the cavalier dailys independence,"['editorial', 'celebrating', 'reflecting', 'cavalier', 'daily', 'independence']"
NEALE: U.Va. needs to address tuition costs to ensure economic diversity,Opinion,neale uva needs to address tuition costs to ensure economic diversity,"['neale', 'uva', 'need', 'address', 'tuition', 'cost', 'ensure', 'economic', 'diversity']"
ARRAS: U.Va. must revise the Sexual Assault Prevention Training module,Opinion,arras uva must revise the sexual assault prevention training module,"['arras', 'uva', 'must', 'revise', 'sexual', 'assault', 'prevention', 'training', 'module']"
KURTZWEIL: California’s environmental laws should not influence Virginia’s,Opinion,kurtzweil californias environmental laws should not influence virginias,"['kurtzweil', 'california', 'environmental', 'law', 'influence', 'virginia']"
SAWAYA: U.Va. should require more language education,Opinion,sawaya uva should require more language education,"['sawaya', 'uva', 'require', 'language', 'education']"
EDITORIAL: Federal funding confusion punishes Charlottesville adult education,Opinion,editorial federal funding confusion punishes charlottesville adult education,"['editorial', 'federal', 'funding', 'confusion', 'punishes', 'charlottesville', 'adult', 'education']"
EDITORIAL: City Council — learn from past mistakes on ranked choice voting,Opinion,editorial city council  learn from past mistakes on ranked choice voting,"['editorial', 'city', 'council', 'learn', 'past', 'mistake', 'ranked', 'choice', 'voting']"
EDITORIAL: Virginia’s political parties have left our universities boarded up,Opinion,editorial virginias political parties have left our universities boarded up,"['editorial', 'virginia', 'political', 'party', 'left', 'university', 'boarded']"
KAVITHA: U.Va. must strengthen efforts to combat opioid overdose in the community,Opinion,kavitha uva must strengthen efforts to combat opioid overdose in the community,"['kavitha', 'uva', 'must', 'strengthen', 'effort', 'combat', 'opioid', 'overdose', 'community']"
