title,section,clean_title,tokens
Board of Visitors Finance Committee hears presentation on budget process,News,board of visitors finance committee hears presentation on budget process,"['board', 'visitor', 'finance', 'committee', 'hears', 'presentation', 'budget', 'process']"
University presidents discuss the future of higher education,News,university presidents discuss the future of higher education,"['university', 'president', 'discus', 'future', 'higher', 'education']"
Shots fired reported on 800 block of Hardy Drive,News,shots fired reported on  block of hardy drive,"['shot', 'fired', 'reported', 'block', 'hardy', 'drive']"
Students share positive experiences celebrating Ramadan at U.Va.,News,students share positive experiences celebrating ramadan at uva,"['student', 'share', 'positive', 'experience', 'celebrating', 'ramadan', 'uva']"
Early voting begins — here’s what’s on the ballot in Charlottesville,News,early voting begins  heres whats on the ballot in charlottesville,"['early', 'voting', 'begin', 'here', 'whats', 'ballot', 'charlottesville']"
Community members react to renaming of Alderman Library to Shannon Library,News,community members react to renaming of alderman library to shannon library,"['community', 'member', 'react', 'renaming', 'alderman', 'library', 'shannon', 'library']"
"Former UJC chair Lisa Kopelnik gives farewell address, passes torch to Harper Jones",News,former ujc chair lisa kopelnik gives farewell address passes torch to harper jones,"['former', 'ujc', 'chair', 'lisa', 'kopelnik', 'give', 'farewell', 'address', 'pass', 'torch', 'harper', 'jones']"
"“The Voice Movement” talks increasing CIO funding, transparency during candidate forum",News,the voice movement talks increasing cio funding transparency during candidate forum,"['voice', 'movement', 'talk', 'increasing', 'cio', 'funding', 'transparency', 'candidate', 'forum']"
Ian Baucom to step down as executive vice president,News,ian baucom to step down as executive vice president,"['ian', 'baucom', 'step', 'executive', 'vice', 'president']"
Blue Ridge Center event shines light on federal judge appointment process,News,blue ridge center event shines light on federal judge appointment process,"['blue', 'ridge', 'center', 'event', 'shine', 'light', 'federal', 'judge', 'appointment', 'process']"
Student Council hears from Student Legal Services student intern,News,student council hears from student legal services student intern,"['student', 'council', 'hears', 'student', 'legal', 'service', 'student', 'intern']"
The Cavalier Daily reflects on 45 years of independence,News,the cavalier daily reflects on  years of independence,"['cavalier', 'daily', 'reflects', 'year', 'independence']"
A preview of the week of Passover on Grounds,News,a preview of the week of passover on grounds,"['preview', 'week', 'passover', 'ground']"
Students receive free STI testing through U.Va. Health and Wellness,News,students receive free sti testing through uva health and wellness,"['student', 'receive', 'free', 'sti', 'testing', 'uva', 'health', 'wellness']"
A look at Virginia law: Could U.Va. have fought the Department of Justice?,News,a look at virginia law could uva have fought the department of justice,"['look', 'virginia', 'law', 'could', 'uva', 'fought', 'department', 'justice']"
UTS introduces new buses in wider sustainability effort,News,uts introduces new buses in wider sustainability effort,"['ut', 'introduces', 'new', 'bus', 'wider', 'sustainability', 'effort']"
January Term courses provide opportunities for hands-on and experiential learning,News,january term courses provide opportunities for handson and experiential learning,"['january', 'term', 'course', 'provide', 'opportunity', 'handson', 'experiential', 'learning']"
Winter storm warning in effect for Charlottesville starting Sunday evening,News,winter storm warning in effect for charlottesville starting sunday evening,"['winter', 'storm', 'warning', 'effect', 'charlottesville', 'starting', 'sunday', 'evening']"
Democrats seek Youngkin’s support during his last legislative session as governor,News,democrats seek youngkins support during his last legislative session as governor,"['democrat', 'seek', 'youngkins', 'support', 'last', 'legislative', 'session', 'governor']"
Students say package deliveries are unpredictable on 14th Street,News,students say package deliveries are unpredictable on th street,"['student', 'say', 'package', 'delivery', 'unpredictable', 'th', 'street']"
Student Council hears from University financial administrators,News,student council hears from university financial administrators,"['student', 'council', 'hears', 'university', 'financial', 'administrator']"
Student Council confirms new leadership under executive board,News,student council confirms new leadership under executive board,"['student', 'council', 'confirms', 'new', 'leadership', 'executive', 'board']"
"UJC finalizes 15 cases this semester, 13 cases pending",News,ujc finalizes  cases this semester  cases pending,"['ujc', 'finalizes', 'case', 'semester', 'case', 'pending']"
Faculty Senate calls for resignation of rector and vice rector to the Board,News,faculty senate calls for resignation of rector and vice rector to the board,"['faculty', 'senate', 'call', 'resignation', 'rector', 'vice', 'rector', 'board']"
Three semesters later — how has the Honor Committee transformed sanctioning?,News,three semesters later  how has the honor committee transformed sanctioning,"['three', 'semester', 'later', 'honor', 'committee', 'transformed', 'sanctioning']"
University launches Public Safety and Justice Center,News,university launches public safety and justice center,"['university', 'launch', 'public', 'safety', 'justice', 'center']"
Contemplative Commons' opening centered mindfulness through the arts,News,contemplative commons opening centered mindfulness through the arts,"['contemplative', 'common', 'opening', 'centered', 'mindfulness', 'art']"
Previewing the June meeting of the Board of Visitors,News,previewing the june meeting of the board of visitors,"['previewing', 'june', 'meeting', 'board', 'visitor']"
Honor Committee discusses its co-sponsorship with the Lighting of the Lawn committee,News,honor committee discusses its cosponsorship with the lighting of the lawn committee,"['honor', 'committee', 'discusses', 'cosponsorship', 'lighting', 'lawn', 'committee']"
From the archives: Libraries and Literature (Feb. 24 – Mar. 2),News,from the archives libraries and literature feb   mar ,"['archive', 'library', 'literature', 'feb', 'mar']"
"Working through the Compact point-by-point, here is what U.Va. has already done",News,working through the compact pointbypoint here is what uva has already done,"['working', 'compact', 'pointbypoint', 'uva', 'already', 'done']"
From the Archives: Drama and Theater,News,from the archives drama and theater,"['archive', 'drama', 'theater']"
From the Archives: Fall Postseason Play,News,from the archives fall postseason play,"['archive', 'fall', 'postseason', 'play']"
Previewing the September meeting of the Board of Visitors,News,previewing the september meeting of the board of visitors,"['previewing', 'september', 'meeting', 'board', 'visitor']"
"The Contemplative Commons pilots programs, prepares for April Grand Opening",News,the contemplative commons pilots programs prepares for april grand opening,"['contemplative', 'common', 'pilot', 'program', 'prepares', 'april', 'grand', 'opening']"
Professors share their findings and thoughts on the use of AI in research,News,professors share their findings and thoughts on the use of ai in research,"['professor', 'share', 'finding', 'thought', 'use', 'ai', 'research']"
"Student Council supports religious accommodations, calls for Nov. 13 memorial holiday",News,student council supports religious accommodations calls for nov  memorial holiday,"['student', 'council', 'support', 'religious', 'accommodation', 'call', 'nov', 'memorial', 'holiday']"
"Finance Committee reviews data center, approves transfer of Guesthouse hotel",News,finance committee reviews data center approves transfer of guesthouse hotel,"['finance', 'committee', 'review', 'data', 'center', 'approves', 'transfer', 'guesthouse', 'hotel']"
North Korean defector Yeonmi Park speaks on current political issues,News,north korean defector yeonmi park speaks on current political issues,"['north', 'korean', 'defector', 'yeonmi', 'park', 'speaks', 'current', 'political', 'issue']"
Honor Committee hears presentation on voter turnout in University-wide elections,News,honor committee hears presentation on voter turnout in universitywide elections,"['honor', 'committee', 'hears', 'presentation', 'voter', 'turnout', 'universitywide', 'election']"
"Architecture Student Council loses $12,000 budget for Beaux Arts Ball",News,architecture student council loses  budget for beaux arts ball,"['architecture', 'student', 'council', 'loses', 'budget', 'beau', 'art', 'ball']"
Interim President Mahoney discusses leadership and institutional priorities,News,interim president mahoney discusses leadership and institutional priorities,"['interim', 'president', 'mahoney', 'discusses', 'leadership', 'institutional', 'priority']"
Health System Board hears first-quarter financial report for 2026 fiscal year,News,health system board hears firstquarter financial report for  fiscal year,"['health', 'system', 'board', 'hears', 'firstquarter', 'financial', 'report', 'fiscal', 'year']"
Another aggravated assault incident reported to UPD,News,another aggravated assault incident reported to upd,"['another', 'aggravated', 'assault', 'incident', 'reported', 'upd']"
Advancement Committee discusses fundraising successes and Clark Scholars program,News,advancement committee discusses fundraising successes and clark scholars program,"['advancement', 'committee', 'discusses', 'fundraising', 'success', 'clark', 'scholar', 'program']"
University Transit Services continues its sustainability initiative with e-Jest buses,News,university transit services continues its sustainability initiative with ejest buses,"['university', 'transit', 'service', 'continues', 'sustainability', 'initiative', 'ejest', 'bus']"
High tuition at School of Law prompts questions about access for students,News,high tuition at school of law prompts questions about access for students,"['high', 'tuition', 'school', 'law', 'prompt', 'question', 'access', 'student']"
The internship hunt is in full swing on Grounds,News,the internship hunt is in full swing on grounds,"['internship', 'hunt', 'full', 'swing', 'ground']"
"Ahead of an “unprecedented” presidential election, Larry Sabato peers into his crystal ball",News,ahead of an unprecedented presidential election larry sabato peers into his crystal ball,"['ahead', 'unprecedented', 'presidential', 'election', 'larry', 'sabato', 'peer', 'crystal', 'ball']"
Honor Committee unanimously approves changes to vice chair position,News,honor committee unanimously approves changes to vice chair position,"['honor', 'committee', 'unanimously', 'approves', 'change', 'vice', 'chair', 'position']"
"After U.Va. falls in free speech rankings, a look at free speech on Grounds",News,after uva falls in free speech rankings a look at free speech on grounds,"['uva', 'fall', 'free', 'speech', 'ranking', 'look', 'free', 'speech', 'ground']"
How does U.Va.’s agreement with the Justice Department compare to the Compact?,News,how does uvas agreement with the justice department compare to the compact,"['uvas', 'agreement', 'justice', 'department', 'compare', 'compact']"
Office of Admission interns replaced the Guide Service — are their tours any different?,News,office of admission interns replaced the guide service  are their tours any different,"['office', 'admission', 'intern', 'replaced', 'guide', 'service', 'tour', 'different']"
From the archives: Jan. 27 – Feb. 2,News,from the archives jan   feb ,"['archive', 'jan', 'feb']"
"BOV Advancement Committee hears graduate school successes, fundraising updates",News,bov advancement committee hears graduate school successes fundraising updates,"['bov', 'advancement', 'committee', 'hears', 'graduate', 'school', 'success', 'fundraising', 'update']"
Love Like Adam Foundation hosts hazing awareness and prevention event,News,love like adam foundation hosts hazing awareness and prevention event,"['love', 'like', 'adam', 'foundation', 'host', 'hazing', 'awareness', 'prevention', 'event']"
Board of Visitors appoints Lisa Kopelnik as next student member,News,board of visitors appoints lisa kopelnik as next student member,"['board', 'visitor', 'appoints', 'lisa', 'kopelnik', 'next', 'student', 'member']"
"New School of Data Science building advances interdisciplinary, data-driven work",News,new school of data science building advances interdisciplinary datadriven work,"['new', 'school', 'data', 'science', 'building', 'advance', 'interdisciplinary', 'datadriven', 'work']"
Honor Committee approves bylaw proposals on case efficiency and attendance,News,honor committee approves bylaw proposals on case efficiency and attendance,"['honor', 'committee', 'approves', 'bylaw', 'proposal', 'case', 'efficiency', 'attendance']"
Honor Committee discusses term goals and plans for finals week,News,honor committee discusses term goals and plans for finals week,"['honor', 'committee', 'discusses', 'term', 'goal', 'plan', 'final', 'week']"
U.Va.’s Finals Weekend spotlights the achievement and service of the Class of 2025,News,uvas finals weekend spotlights the achievement and service of the class of ,"['uvas', 'final', 'weekend', 'spotlight', 'achievement', 'service', 'class']"
Winsome Earle-Sears talks higher education in first U.Va. event of the campaign,News,winsome earlesears talks higher education in first uva event of the campaign,"['winsome', 'earlesears', 'talk', 'higher', 'education', 'first', 'uva', 'event', 'campaign']"
